"Date","September-27-2024"
"Time","22h55m26s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","0 prueba 1 estado horizontal"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.999996e-01,-5.322287e-04,7.303572e-04,-1.524724e-02,2.092320e-02,9.999998e-01,1.260817e+02,1.000352e+02,-1.882596e+01,1.310401e-05,
2.999998e-02,9.999996e-01,-4.988502e-04,7.058692e-04,-1.429101e-02,2.022166e-02,9.999998e-01,1.252495e+02,1.000390e+02,-1.882522e+01,1.310623e-05,
5.999997e-02,9.999997e-01,-1.941513e-04,6.956549e-04,-5.562027e-03,1.992905e-02,9.999999e-01,1.055940e+02,1.000347e+02,-1.882581e+01,1.310446e-05,
8.999995e-02,9.999997e-01,-4.757236e-04,6.819022e-04,-1.362848e-02,1.953506e-02,9.999998e-01,1.249012e+02,1.000358e+02,-1.882497e+01,1.310700e-05,
1.199999e-01,9.999998e-01,-1.931976e-04,6.536054e-04,-5.534706e-03,1.872442e-02,9.999999e-01,1.064670e+02,1.000388e+02,-1.882535e+01,1.310584e-05,
1.499999e-01,9.999997e-01,-1.681637e-04,7.771947e-04,-4.817537e-03,2.226499e-02,9.999998e-01,1.022090e+02,1.000348e+02,-1.882639e+01,1.310271e-05,
1.799999e-01,9.999997e-01,-2.449344e-04,7.489234e-04,-7.016857e-03,2.145508e-02,9.999998e-01,1.081103e+02,1.000412e+02,-1.882515e+01,1.310645e-05,
2.099999e-01,9.999998e-01,4.212890e-06,6.293454e-04,1.206904e-04,1.802942e-02,9.999999e-01,8.961646e+01,1.000356e+02,-1.882694e+01,1.310105e-05,
2.399999e-01,9.999997e-01,-8.209462e-05,7.102386e-04,-2.351838e-03,2.034684e-02,9.999999e-01,9.659341e+01,1.000369e+02,-1.882605e+01,1.310373e-05,
2.699999e-01,9.999997e-01,1.668143e-04,6.887420e-04,4.778879e-03,1.973101e-02,9.999999e-01,7.638506e+01,1.000381e+02,-1.882558e+01,1.310514e-05,
