"Date","September-27-2024"
"Time","23h25m06s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","114grad"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.734447e-01,1.638344e-01,1.598865e-01,4.776779e+00,4.600154e+00,9.867224e-01,4.430130e+01,1.000237e+02,-1.904836e+01,1.244983e-05,
2.999998e-02,9.733707e-01,1.641503e-01,1.600129e-01,4.786178e+00,4.603822e+00,9.866854e-01,4.426875e+01,1.000291e+02,-1.905127e+01,1.244152e-05,
5.999997e-02,9.733174e-01,1.642244e-01,1.602608e-01,4.788555e+00,4.611017e+00,9.866587e-01,4.430017e+01,1.000288e+02,-1.905360e+01,1.243484e-05,
8.999995e-02,9.733177e-01,1.642977e-01,1.601842e-01,4.790651e+00,4.608795e+00,9.866588e-01,4.427371e+01,1.000365e+02,-1.904801e+01,1.245085e-05,
1.199999e-01,9.733401e-01,1.643074e-01,1.600376e-01,4.790822e+00,4.604540e+00,9.866701e-01,4.424578e+01,1.000300e+02,-1.905221e+01,1.243880e-05,
1.499999e-01,9.733629e-01,1.641277e-01,1.600834e-01,4.785570e+00,4.605868e+00,9.866815e-01,4.428530e+01,1.000308e+02,-1.904600e+01,1.245661e-05,
1.799999e-01,9.733542e-01,1.642360e-01,1.600257e-01,4.788712e+00,4.604193e+00,9.866771e-01,4.425609e+01,1.000300e+02,-1.904675e+01,1.245447e-05,
2.099999e-01,9.733353e-01,1.641095e-01,1.602702e-01,4.785181e+00,4.611290e+00,9.866676e-01,4.432190e+01,1.000291e+02,-1.905306e+01,1.243639e-05,
2.399999e-01,9.733746e-01,1.640961e-01,1.600449e-01,4.784607e+00,4.604752e+00,9.866873e-01,4.428395e+01,1.000329e+02,-1.905172e+01,1.244022e-05,
2.699999e-01,9.733708e-01,1.641226e-01,1.600408e-01,4.785386e+00,4.604632e+00,9.866854e-01,4.427857e+01,1.000254e+02,-1.904929e+01,1.244718e-05,
2.999998e-01,9.733825e-01,1.639976e-01,1.600974e-01,4.781752e+00,4.606276e+00,9.866913e-01,4.431053e+01,1.000290e+02,-1.904956e+01,1.244640e-05,
3.299998e-01,9.733004e-01,1.643719e-01,1.602128e-01,4.792858e+00,4.609623e+00,9.866502e-01,4.426588e+01,1.000354e+02,-1.904511e+01,1.245916e-05,
3.599998e-01,9.733589e-01,1.641409e-01,1.600942e-01,4.785966e+00,4.606181e+00,9.866795e-01,4.428494e+01,1.000274e+02,-1.904777e+01,1.245154e-05,
3.899998e-01,9.733606e-01,1.641536e-01,1.600707e-01,4.786321e+00,4.605501e+00,9.866803e-01,4.427852e+01,1.000344e+02,-1.904971e+01,1.244598e-05,
4.199998e-01,9.733421e-01,1.642445e-01,1.600900e-01,4.789012e+00,4.606060e+00,9.866711e-01,4.426611e+01,1.000274e+02,-1.905034e+01,1.244418e-05,
4.499998e-01,9.734056e-01,1.639108e-01,1.600461e-01,4.779156e+00,4.604785e+00,9.867028e-01,4.431650e+01,1.000262e+02,-1.904979e+01,1.244574e-05,
4.799997e-01,9.733244e-01,1.642866e-01,1.601544e-01,4.790303e+00,4.607929e+00,9.866622e-01,4.427029e+01,1.000331e+02,-1.905142e+01,1.244109e-05,
5.099997e-01,9.733651e-01,1.640840e-01,1.601149e-01,4.784306e+00,4.606782e+00,9.866826e-01,4.429858e+01,1.000282e+02,-1.904676e+01,1.245443e-05,
5.399997e-01,9.733746e-01,1.641922e-01,1.599461e-01,4.787359e+00,4.601883e+00,9.866873e-01,4.424948e+01,1.000327e+02,-1.904816e+01,1.245043e-05,
5.699997e-01,9.733466e-01,1.642603e-01,1.600469e-01,4.789443e+00,4.604808e+00,9.866733e-01,4.425565e+01,1.000283e+02,-1.905134e+01,1.244132e-05,
5.999997e-01,9.733915e-01,1.639333e-01,1.601089e-01,4.779867e+00,4.606608e+00,9.866958e-01,4.432382e+01,1.000288e+02,-1.904942e+01,1.244680e-05,
6.299997e-01,9.733716e-01,1.641543e-01,1.600035e-01,4.786287e+00,4.603549e+00,9.866858e-01,4.426638e+01,1.000257e+02,-1.905151e+01,1.244083e-05,
6.599996e-01,9.733344e-01,1.641745e-01,1.602087e-01,4.787045e+00,4.609504e+00,9.866672e-01,4.429955e+01,1.000361e+02,-1.904878e+01,1.244865e-05,
6.899996e-01,9.733227e-01,1.643906e-01,1.600583e-01,4.793288e+00,4.605139e+00,9.866613e-01,4.423497e+01,1.000343e+02,-1.904478e+01,1.246012e-05,
7.199996e-01,9.733473e-01,1.643098e-01,1.599917e-01,4.790856e+00,4.603207e+00,9.866736e-01,4.423714e+01,1.000283e+02,-1.904878e+01,1.244863e-05,
7.499996e-01,9.733752e-01,1.640988e-01,1.600386e-01,4.784682e+00,4.604569e+00,9.866876e-01,4.428235e+01,1.000335e+02,-1.905031e+01,1.244427e-05,
7.799996e-01,9.733290e-01,1.642576e-01,1.601562e-01,4.789449e+00,4.607982e+00,9.866645e-01,4.427568e+01,1.000344e+02,-1.904848e+01,1.244951e-05,
