"Date","September-27-2024"
"Time","22h38m51s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment",""
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,9.991275e-01,-4.115951e-02,-7.085257e-03,-1.179496e+00,-2.029794e-01,9.995637e-01,-1.702327e+02,1.000196e+02,-1.843301e+01,1.434495e-05,
2.999998e-02,9.991227e-01,-4.127337e-02,-7.091781e-03,-1.182761e+00,-2.031663e-01,9.995614e-01,-1.702504e+02,1.000234e+02,-1.843116e+01,1.435107e-05,
5.999997e-02,9.991135e-01,-4.146794e-02,-7.247917e-03,-1.188341e+00,-2.076394e-01,9.995568e-01,-1.700858e+02,1.000201e+02,-1.843377e+01,1.434244e-05,
8.999995e-02,9.990962e-01,-4.191367e-02,-7.078022e-03,-1.201120e+00,-2.027721e-01,9.995481e-01,-1.704148e+02,1.000212e+02,-1.843231e+01,1.434727e-05,
1.199999e-01,9.991180e-01,-4.138938e-02,-7.080067e-03,-1.186087e+00,-2.028307e-01,9.995590e-01,-1.702929e+02,1.000231e+02,-1.843256e+01,1.434645e-05,
1.499999e-01,9.991143e-01,-4.146797e-02,-7.146568e-03,-1.188341e+00,-2.047358e-01,9.995571e-01,-1.702217e+02,1.000196e+02,-1.843441e+01,1.434032e-05,
1.799999e-01,9.991191e-01,-4.135077e-02,-7.157849e-03,-1.184980e+00,-2.050590e-01,9.995595e-01,-1.701794e+02,1.000241e+02,-1.843336e+01,1.434378e-05,
2.099999e-01,9.991256e-01,-4.119665e-02,-7.134255e-03,-1.180561e+00,-2.043831e-01,9.995628e-01,-1.701752e+02,1.000194e+02,-1.843113e+01,1.435116e-05,
2.399999e-01,9.991175e-01,-4.140034e-02,-7.087080e-03,-1.186401e+00,-2.030316e-01,9.995588e-01,-1.702860e+02,1.000218e+02,-1.843100e+01,1.435159e-05,
2.699999e-01,9.991236e-01,-4.124524e-02,-7.138607e-03,-1.181955e+00,-2.045078e-01,9.995618e-01,-1.701807e+02,1.000208e+02,-1.843385e+01,1.434218e-05,
2.999998e-01,9.991172e-01,-4.139937e-02,-7.132405e-03,-1.186374e+00,-2.043301e-01,9.995586e-01,-1.702249e+02,1.000173e+02,-1.843239e+01,1.434701e-05,
