"Date","September-27-2024"
"Time","22h30m43s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",1024
"Record Rate",1
"Record Time [s]",3.071998e+01
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment",""
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-1.032724e-01,9.941369e-01,-3.204056e-02,4.796535e+01,-9.180516e-01,4.483638e-01,-1.845977e+00,1.005069e+02,-1.826105e+01,1.492435e-05,
2.999998e-02,-1.024352e-01,9.942242e-01,-3.201947e-02,4.794122e+01,-9.174470e-01,4.487824e-01,-1.844601e+00,1.004769e+02,-1.826010e+01,1.492760e-05,
5.999997e-02,-1.031685e-01,9.941499e-01,-3.197117e-02,4.796235e+01,-9.160627e-01,4.484157e-01,-1.841958e+00,1.005557e+02,-1.826105e+01,1.492433e-05,
8.999995e-02,-1.026060e-01,9.942077e-01,-3.198662e-02,4.794614e+01,-9.165055e-01,4.486970e-01,-1.842740e+00,1.004408e+02,-1.825946e+01,1.492980e-05,
1.199999e-01,-1.026785e-01,9.942006e-01,-3.197244e-02,4.794823e+01,-9.160992e-01,4.486608e-01,-1.841937e+00,1.005415e+02,-1.825982e+01,1.492857e-05,
1.499999e-01,-1.031036e-01,9.941525e-01,-3.210005e-02,4.796049e+01,-9.197567e-01,4.484482e-01,-1.849373e+00,1.004934e+02,-1.826117e+01,1.492393e-05,
1.799999e-01,-1.024959e-01,9.942142e-01,-3.213529e-02,4.794298e+01,-9.207667e-01,4.487521e-01,-1.851287e+00,1.004550e+02,-1.825920e+01,1.493071e-05,
2.099999e-01,-1.031448e-01,9.941549e-01,-3.189475e-02,4.796166e+01,-9.138724e-01,4.484276e-01,-1.837549e+00,1.005693e+02,-1.826142e+01,1.492308e-05,
2.399999e-01,-1.029169e-01,9.941780e-01,-3.191020e-02,4.795509e+01,-9.143152e-01,4.485415e-01,-1.838396e+00,1.004661e+02,-1.826029e+01,1.492696e-05,
2.699999e-01,-1.025940e-01,9.942067e-01,-3.205619e-02,4.794580e+01,-9.184995e-01,4.487030e-01,-1.846747e+00,1.005169e+02,-1.825969e+01,1.492902e-05,
2.999998e-01,-1.029867e-01,9.941646e-01,-3.210044e-02,4.795712e+01,-9.197677e-01,4.485066e-01,-1.849372e+00,1.004946e+02,-1.826124e+01,1.492369e-05,
3.299998e-01,-1.023927e-01,9.942292e-01,-3.200033e-02,4.793999e+01,-9.168984e-01,4.488037e-01,-1.843489e+00,1.004543e+02,-1.825774e+01,1.493572e-05,
3.599998e-01,-1.031627e-01,9.941493e-01,-3.201047e-02,4.796218e+01,-9.171892e-01,4.484186e-01,-1.844222e+00,1.005620e+02,-1.826107e+01,1.492427e-05,
3.899998e-01,-1.030420e-01,9.941669e-01,-3.185162e-02,4.795869e+01,-9.126360e-01,4.484790e-01,-1.835043e+00,1.004818e+02,-1.826178e+01,1.492184e-05,
4.199998e-01,-1.027049e-01,9.941976e-01,-3.198273e-02,4.794899e+01,-9.163941e-01,4.486476e-01,-1.842535e+00,1.005326e+02,-1.825955e+01,1.492948e-05,
4.499998e-01,-1.031880e-01,9.941424e-01,-3.214139e-02,4.796292e+01,-9.209415e-01,4.484060e-01,-1.851771e+00,1.004886e+02,-1.826025e+01,1.492708e-05,
4.799997e-01,-1.022325e-01,9.942476e-01,-3.194070e-02,4.793538e+01,-9.151894e-01,4.488837e-01,-1.840023e+00,1.004600e+02,-1.825837e+01,1.493356e-05,
5.099997e-01,-1.026539e-01,9.942053e-01,-3.190700e-02,4.794751e+01,-9.142233e-01,4.486730e-01,-1.838161e+00,1.005379e+02,-1.825846e+01,1.493325e-05,
5.399997e-01,-1.027178e-01,9.941984e-01,-3.191522e-02,4.794936e+01,-9.144589e-01,4.486411e-01,-1.838647e+00,1.004407e+02,-1.825910e+01,1.493105e-05,
5.699997e-01,-1.023433e-01,9.942329e-01,-3.204400e-02,4.793858e+01,-9.181502e-01,4.488284e-01,-1.845997e+00,1.004978e+02,-1.825795e+01,1.493498e-05,
5.999997e-01,-1.030515e-01,9.941596e-01,-3.204811e-02,4.795898e+01,-9.182678e-01,4.484742e-01,-1.846369e+00,1.005402e+02,-1.826037e+01,1.492667e-05,
6.299997e-01,-1.023997e-01,9.942287e-01,-3.199253e-02,4.794020e+01,-9.166749e-01,4.488001e-01,-1.843041e+00,1.004327e+02,-1.825764e+01,1.493607e-05,
6.599996e-01,-1.025895e-01,9.942102e-01,-3.196047e-02,4.794566e+01,-9.157560e-01,4.487052e-01,-1.841230e+00,1.005377e+02,-1.825858e+01,1.493282e-05,
